title,author,assignees,number,url,state,closedAt,createdAt,updatedAt,labels,issues
migrate creating teams test,CarlosViller,{'CarlosViller'},1241,https://github.com/weiks/esports-backend/pull/1241,MERGED,2022-04-22T14:15:28Z,2022-04-21T13:10:15Z,2022-04-22T14:15:32Z,set(),[]
Fully remove search,Mathspy,{'Mathspy'},1247,https://github.com/weiks/esports-backend/pull/1247,MERGED,2022-04-21T16:24:38Z,2022-04-21T16:11:44Z,2022-04-22T14:11:36Z,set(),[]
Fix renaming.e2e.js test,Mathspy,{'Mathspy'},1253,https://github.com/weiks/esports-backend/pull/1253,MERGED,2022-04-21T20:22:21Z,2022-04-21T20:10:39Z,2022-04-21T20:22:23Z,set(),[]
Mass rename `scrimId` to `eventId` in the frontend,Mathspy,{'Mathspy'},1240,https://github.com/weiks/esports-backend/pull/1240,MERGED,2022-04-21T20:12:06Z,2022-04-21T12:45:52Z,2022-04-21T20:12:09Z,set(),[]
WIP: Fix moving.e2e,bmcilw1,{'bmcilw1'},1252,https://github.com/weiks/esports-backend/pull/1252,CLOSED,2022-04-21T20:03:59Z,2022-04-21T19:42:47Z,2022-04-21T20:03:59Z,set(),[]
fix params from tests,gonzalovelasco,{'gonzalovelasco'},1249,https://github.com/weiks/esports-backend/pull/1249,MERGED,2022-04-21T19:38:25Z,2022-04-21T17:12:58Z,2022-04-21T19:38:58Z,set(),[]
Move event migration scripts around,alexangc,{'alexangc'},1244,https://github.com/weiks/esports-backend/pull/1244,MERGED,2022-04-21T17:35:12Z,2022-04-21T14:37:06Z,2022-04-21T17:35:17Z,set(),[]
migrate joining for free to forninte event e2e test,CarlosViller,{'CarlosViller'},1245,https://github.com/weiks/esports-backend/pull/1245,MERGED,2022-04-21T17:18:29Z,2022-04-21T15:47:47Z,2022-04-21T17:18:38Z,set(),[]
Fix e2e test Hosts can kick players,paulofer85,{'paulofer85'},1237,https://github.com/weiks/esports-backend/pull/1237,MERGED,2022-04-21T13:22:06Z,2022-04-20T17:35:34Z,2022-04-21T16:14:15Z,set(),[]
Fix migration joiningteamse2e,gonzalovelasco,{'gonzalovelasco'},1242,https://github.com/weiks/esports-backend/pull/1242,MERGED,2022-04-21T14:59:14Z,2022-04-21T13:43:14Z,2022-04-21T16:13:46Z,set(),[]
Migration: fix UI issues in EventPage,SinshiSmith,{'SinshiSmith'},1243,https://github.com/weiks/esports-backend/pull/1243,MERGED,2022-04-21T15:42:38Z,2022-04-21T14:03:43Z,2022-04-21T15:42:40Z,set(),[]
fix optional data on event page,gonzalovelasco,{'gonzalovelasco'},1168,https://github.com/weiks/esports-backend/pull/1168,MERGED,2022-04-21T12:18:11Z,2022-04-12T15:39:34Z,2022-04-21T12:18:13Z,set(),[]
Fix YouTube missing its platform,Mathspy,{'Mathspy'},1239,https://github.com/weiks/esports-backend/pull/1239,MERGED,2022-04-20T22:43:28Z,2022-04-20T21:50:24Z,2022-04-20T22:43:30Z,set(),[]
Remove legacy buy options,Mathspy,{'Mathspy'},1030,https://github.com/weiks/esports-backend/pull/1030,MERGED,2022-04-20T21:31:59Z,2022-03-11T19:52:01Z,2022-04-20T21:32:01Z,set(),[]
Improve order handling,Mathspy,{'Mathspy'},1238,https://github.com/weiks/esports-backend/pull/1238,MERGED,2022-04-20T17:55:51Z,2022-04-20T17:37:14Z,2022-04-20T17:55:53Z,set(),[]
fix flaky test in pickWinner,CarlosViller,{'CarlosViller'},1235,https://github.com/weiks/esports-backend/pull/1235,MERGED,2022-04-20T16:22:45Z,2022-04-20T16:22:21Z,2022-04-20T16:22:49Z,set(),[]
Migration: Delete old code ,SinshiSmith,{'SinshiSmith'},1199,https://github.com/weiks/esports-backend/pull/1199,MERGED,2022-04-20T16:16:16Z,2022-04-16T19:25:23Z,2022-04-20T16:16:19Z,set(),[]
Migration: banned from event page,SinshiSmith,{'SinshiSmith'},1234,https://github.com/weiks/esports-backend/pull/1234,MERGED,2022-04-20T16:15:12Z,2022-04-20T16:04:26Z,2022-04-20T16:15:22Z,set(),[]
Migration: WatchOnPlatform,SinshiSmith,{'SinshiSmith'},1233,https://github.com/weiks/esports-backend/pull/1233,MERGED,2022-04-20T15:51:21Z,2022-04-20T15:41:35Z,2022-04-20T15:51:24Z,set(),[]
Migrate banned,CarlosViller,{'CarlosViller'},1230,https://github.com/weiks/esports-backend/pull/1230,CLOSED,2022-04-20T14:27:51Z,2022-04-20T14:27:40Z,2022-04-20T14:31:36Z,set(),[]
Error 404 on Cancel event and Host rematch,CarlosViller,{'CarlosViller'},1205,https://github.com/weiks/esports-backend/pull/1205,MERGED,2022-04-20T13:57:21Z,2022-04-18T14:57:35Z,2022-04-20T13:57:28Z,set(),"[{'assignees': {'CarlosViller'}, 'labels': set(), 'number': 1191, 'title': 'Bad request when trying cancel or rematch an event', 'url': 'https://github.com/weiks/esports-backend/issues/1191', 'state': 'CLOSED', 'updatedAt': '2022-04-20T13:59:01Z'}]"
Cleanup backend code,alexangc,{'alexangc'},1228,https://github.com/weiks/esports-backend/pull/1228,MERGED,2022-04-20T13:53:31Z,2022-04-20T09:27:32Z,2022-04-20T13:53:35Z,set(),[]
Fix Cannot read property createEvent of null in frontend tests,Mathspy,{'Mathspy'},1224,https://github.com/weiks/esports-backend/pull/1224,MERGED,2022-04-19T22:30:17Z,2022-04-19T19:04:04Z,2022-04-20T13:31:15Z,set(),[]
Migrate endpoint `/collectbonus`,alexangc,{'alexangc'},1217,https://github.com/weiks/esports-backend/pull/1217,MERGED,2022-04-20T09:02:50Z,2022-04-19T09:13:23Z,2022-04-20T09:02:57Z,set(),[]
Convert oauth endpoints `/api/v1/events/*`,alexangc,{'alexangc'},1218,https://github.com/weiks/esports-backend/pull/1218,MERGED,2022-04-20T09:02:19Z,2022-04-19T12:17:48Z,2022-04-20T09:02:22Z,set(),[]
Keep alive intermitent failed socket connection,bmcilw1,{'bmcilw1'},1223,https://github.com/weiks/esports-backend/pull/1223,MERGED,2022-04-19T23:04:58Z,2022-04-19T18:40:18Z,2022-04-20T07:43:35Z,set(),[]
Update CI timeout,bmcilw1,{'bmcilw1'},1220,https://github.com/weiks/esports-backend/pull/1220,MERGED,2022-04-19T16:35:00Z,2022-04-19T16:27:06Z,2022-04-20T07:37:18Z,set(),[]
Keep alive prematurely disconnected socket,bmcilw1,{'bmcilw1'},1222,https://github.com/weiks/esports-backend/pull/1222,CLOSED,2022-04-19T18:39:49Z,2022-04-19T18:39:36Z,2022-04-20T07:36:27Z,set(),[]
Edit event page test fixes,Mathspy,{'Mathspy'},1221,https://github.com/weiks/esports-backend/pull/1221,MERGED,2022-04-19T22:39:10Z,2022-04-19T16:42:04Z,2022-04-19T22:39:12Z,set(),[]
READY: Confirm section,bmcilw1,{'bmcilw1'},1197,https://github.com/weiks/esports-backend/pull/1197,MERGED,2022-04-19T16:14:03Z,2022-04-15T21:32:48Z,2022-04-19T16:14:06Z,set(),[]
EventFooter test fixes,Mathspy,{'Mathspy'},1194,https://github.com/weiks/esports-backend/pull/1194,MERGED,2022-04-15T17:48:53Z,2022-04-15T17:30:08Z,2022-04-19T13:33:58Z,set(),[]
Join bar test fixes,Mathspy,{'Mathspy'},1208,https://github.com/weiks/esports-backend/pull/1208,MERGED,2022-04-18T18:57:22Z,2022-04-18T16:51:16Z,2022-04-19T13:24:46Z,set(),[]
Fix some statuses that weren't using the proper ENUM values,Mathspy,{'Mathspy'},1211,https://github.com/weiks/esports-backend/pull/1211,MERGED,2022-04-18T20:15:54Z,2022-04-18T20:01:56Z,2022-04-19T13:15:55Z,set(),[]
Move fire test to integration,Mathspy,{'Mathspy'},1213,https://github.com/weiks/esports-backend/pull/1213,MERGED,2022-04-18T21:05:50Z,2022-04-18T20:59:52Z,2022-04-19T13:15:15Z,set(),[]
remove object scores from matches,gonzalovelasco,{'gonzalovelasco'},1207,https://github.com/weiks/esports-backend/pull/1207,MERGED,2022-04-18T19:44:01Z,2022-04-18T16:10:42Z,2022-04-19T11:42:24Z,set(),[]
Migration: edit event page,SinshiSmith,{'SinshiSmith'},1181,https://github.com/weiks/esports-backend/pull/1181,MERGED,2022-04-19T01:08:19Z,2022-04-14T13:47:48Z,2022-04-19T01:08:23Z,set(),[]
"Games: Clash Mini, Gartic on Stream, WWE 2K22",SinshiSmith,{'SinshiSmith'},1198,https://github.com/weiks/esports-backend/pull/1198,MERGED,2022-04-18T23:41:54Z,2022-04-16T17:14:26Z,2022-04-18T23:41:59Z,set(),[]
Added domains backup to readme,bmcilw1,{'bmcilw1'},1216,https://github.com/weiks/esports-backend/pull/1216,MERGED,2022-04-18T21:40:46Z,2022-04-18T21:40:06Z,2022-04-18T21:40:50Z,set(),[]
Added cli install link,bmcilw1,{'bmcilw1'},1215,https://github.com/weiks/esports-backend/pull/1215,MERGED,2022-04-18T21:32:08Z,2022-04-18T21:31:18Z,2022-04-18T21:32:13Z,set(),[]
Join event modal test fixes,Mathspy,{'Mathspy'},1212,https://github.com/weiks/esports-backend/pull/1212,MERGED,2022-04-18T21:13:05Z,2022-04-18T20:46:11Z,2022-04-18T21:13:07Z,set(),[]
Added steps for backup and retrival of configs,bmcilw1,{'bmcilw1'},1214,https://github.com/weiks/esports-backend/pull/1214,MERGED,2022-04-18T21:06:14Z,2022-04-18T21:03:57Z,2022-04-18T21:06:16Z,set(),[]
Home Page test fixes,Mathspy,{'Mathspy'},1189,https://github.com/weiks/esports-backend/pull/1189,MERGED,2022-04-18T18:41:45Z,2022-04-14T21:17:20Z,2022-04-18T18:41:48Z,set(),[]
Remove score from brackets tests,Mathspy,{'Mathspy'},1210,https://github.com/weiks/esports-backend/pull/1210,MERGED,2022-04-18T18:06:14Z,2022-04-18T18:00:31Z,2022-04-18T18:06:16Z,set(),[]
Turn the event's `STATUS` enum into decimal values,alexangc,{'alexangc'},1204,https://github.com/weiks/esports-backend/pull/1204,MERGED,2022-04-18T15:37:52Z,2022-04-18T14:37:23Z,2022-04-18T15:43:30Z,set(),[]
Add `startAfter` clause to the Firebase mock,alexangc,{'alexangc'},1202,https://github.com/weiks/esports-backend/pull/1202,MERGED,2022-04-18T14:25:43Z,2022-04-18T10:11:44Z,2022-04-18T14:25:46Z,set(),[]
Flip test to not throwing if host is not provided,Mathspy,{'Mathspy'},1190,https://github.com/weiks/esports-backend/pull/1190,MERGED,2022-04-18T13:50:50Z,2022-04-14T21:30:18Z,2022-04-18T13:50:52Z,set(),[]
Confirm section,bmcilw1,{'bmcilw1'},1196,https://github.com/weiks/esports-backend/pull/1196,CLOSED,2022-04-15T21:32:16Z,2022-04-15T21:31:54Z,2022-04-15T21:32:16Z,set(),[]
Test checkout,bmcilw1,{'bmcilw1'},1144,https://github.com/weiks/esports-backend/pull/1144,MERGED,2022-04-08T16:09:55Z,2022-04-07T15:16:14Z,2022-04-15T13:48:19Z,set(),[]
fix invitation modal empty fields,gonzalovelasco,{'gonzalovelasco'},1186,https://github.com/weiks/esports-backend/pull/1186,MERGED,2022-04-14T20:14:44Z,2022-04-14T20:13:16Z,2022-04-14T20:14:49Z,set(),[]
Migrate announcementeditor,gonzalovelasco,{'gonzalovelasco'},1184,https://github.com/weiks/esports-backend/pull/1184,MERGED,2022-04-14T19:59:34Z,2022-04-14T19:19:52Z,2022-04-14T20:02:22Z,set(),[]
pickWinner function migration,CarlosViller,{'CarlosViller'},1147,https://github.com/weiks/esports-backend/pull/1147,MERGED,2022-04-14T17:39:32Z,2022-04-07T18:55:04Z,2022-04-14T17:39:38Z,set(),"[{'assignees': {'gonzalovelasco', 'paulofer85', 'alexangc'}, 'labels': set(), 'number': 962, 'title': 'Event Migration: Backend', 'url': 'https://github.com/weiks/esports-backend/issues/962', 'state': 'CLOSED', 'updatedAt': '2022-04-28T09:56:08Z'}]"
Migration kick & ban User,paulofer85,{'paulofer85'},1142,https://github.com/weiks/esports-backend/pull/1142,MERGED,2022-04-14T17:01:09Z,2022-04-07T13:49:16Z,2022-04-14T17:01:12Z,set(),"[{'assignees': {'gonzalovelasco', 'paulofer85', 'alexangc'}, 'labels': set(), 'number': 962, 'title': 'Event Migration: Backend', 'url': 'https://github.com/weiks/esports-backend/issues/962', 'state': 'CLOSED', 'updatedAt': '2022-04-28T09:56:08Z'}]"
Migration follow up fixes,Mathspy,{'Mathspy'},1176,https://github.com/weiks/esports-backend/pull/1176,MERGED,2022-04-14T16:54:04Z,2022-04-13T17:53:03Z,2022-04-14T16:54:06Z,set(),[]
Lint green,CarlosViller,{'CarlosViller'},1182,https://github.com/weiks/esports-backend/pull/1182,MERGED,2022-04-14T16:44:16Z,2022-04-14T15:04:43Z,2022-04-14T16:44:20Z,set(),"[{'assignees': {'gonzalovelasco', 'SinshiSmith'}, 'labels': set(), 'number': 946, 'title': 'Event Migration: Front end', 'url': 'https://github.com/weiks/esports-backend/issues/946', 'state': 'CLOSED', 'updatedAt': '2022-04-28T09:58:43Z'}]"
Fix `EVENT` typedef not checking `participants` properly,alexangc,{'alexangc'},1183,https://github.com/weiks/esports-backend/pull/1183,MERGED,2022-04-14T16:36:15Z,2022-04-14T16:30:21Z,2022-04-14T16:36:18Z,set(),[]
Component team,gonzalovelasco,{'gonzalovelasco'},1131,https://github.com/weiks/esports-backend/pull/1131,CLOSED,2022-04-14T16:09:13Z,2022-04-06T13:44:41Z,2022-04-14T16:11:45Z,set(),[]
Rewrite the logic fetching and displaying the featured events,alexangc,{'alexangc'},1180,https://github.com/weiks/esports-backend/pull/1180,MERGED,2022-04-14T16:11:23Z,2022-04-14T13:39:38Z,2022-04-14T16:11:33Z,{'bug'},"[{'assignees': {'gonzalovelasco', 'Mathspy', 'bmcilw1'}, 'labels': {'bug'}, 'number': 1179, 'title': 'Bug: Unsupported query in featured event filtering on HomePage.js `new-migration`', 'url': 'https://github.com/weiks/esports-backend/issues/1179', 'state': 'CLOSED', 'updatedAt': '2022-04-14T17:46:36Z'}]"
Updated Firebase,bmcilw1,{'bmcilw1'},1178,https://github.com/weiks/esports-backend/pull/1178,MERGED,2022-04-14T13:45:21Z,2022-04-13T20:55:48Z,2022-04-14T14:09:14Z,set(),[]
migrate team management modal,gonzalovelasco,{'gonzalovelasco'},1177,https://github.com/weiks/esports-backend/pull/1177,MERGED,2022-04-13T21:04:10Z,2022-04-13T20:25:10Z,2022-04-13T21:10:02Z,set(),[]
Migrate team section,gonzalovelasco,{'gonzalovelasco'},1174,https://github.com/weiks/esports-backend/pull/1174,MERGED,2022-04-13T20:22:18Z,2022-04-13T01:48:55Z,2022-04-13T20:22:28Z,set(),[]
Convert startRichPresenceIfNeeded,paulofer85,{'paulofer85'},1171,https://github.com/weiks/esports-backend/pull/1171,MERGED,2022-04-13T19:05:55Z,2022-04-12T18:33:55Z,2022-04-13T19:14:03Z,set(),[]
migrate switchtofromvipmodal and function switch team,gonzalovelasco,{'gonzalovelasco'},1173,https://github.com/weiks/esports-backend/pull/1173,MERGED,2022-04-13T17:37:24Z,2022-04-12T21:01:53Z,2022-04-13T17:37:51Z,set(),[]
Convert kickplayer suggestions,alexangc,{'alexangc'},1170,https://github.com/weiks/esports-backend/pull/1170,MERGED,2022-04-13T13:38:28Z,2022-04-12T17:59:02Z,2022-04-13T13:39:00Z,set(),[]
fix join request params,gonzalovelasco,{'gonzalovelasco'},1169,https://github.com/weiks/esports-backend/pull/1169,MERGED,2022-04-12T16:54:11Z,2022-04-12T16:50:25Z,2022-04-12T16:54:12Z,set(),[]
Fix `/updateEvent` wrongfully updating the field `setup.game`,alexangc,{'alexangc'},1167,https://github.com/weiks/esports-backend/pull/1167,MERGED,2022-04-12T16:14:39Z,2022-04-12T15:10:05Z,2022-04-12T16:14:42Z,set(),[]
Update the firestore rules extract,alexangc,{'alexangc'},1165,https://github.com/weiks/esports-backend/pull/1165,MERGED,2022-04-12T15:10:44Z,2022-04-12T11:12:39Z,2022-04-12T15:10:46Z,set(),[]
Fix event typedef not checking the existence of slots and unicity of team memberships,alexangc,{'alexangc'},1164,https://github.com/weiks/esports-backend/pull/1164,MERGED,2022-04-12T14:32:13Z,2022-04-12T11:07:27Z,2022-04-12T14:48:17Z,set(),[]
fix event creation required fields styles and cover,gonzalovelasco,{'gonzalovelasco'},1163,https://github.com/weiks/esports-backend/pull/1163,MERGED,2022-04-12T10:49:41Z,2022-04-11T20:07:06Z,2022-04-12T10:53:55Z,set(),[]
Add comment to allow PR,SinshiSmith,{'SinshiSmith'},860,https://github.com/weiks/esports-backend/pull/860,CLOSED,2022-01-12T08:38:08Z,2021-12-10T14:51:18Z,2022-04-12T09:51:42Z,set(),[]
[REF] refactor ViewEvent components,adrach,{'adrach'},878,https://github.com/weiks/esports-backend/pull/878,CLOSED,2022-03-29T13:46:52Z,2022-01-13T02:33:18Z,2022-04-12T09:51:30Z,set(),[]
[REF] refactor ViewEventPage,adrach,{'adrach'},879,https://github.com/weiks/esports-backend/pull/879,CLOSED,2022-03-29T13:47:07Z,2022-01-13T02:34:55Z,2022-04-12T09:51:29Z,set(),[]
[REF] add ViewEventPage tests,adrach,{'adrach'},881,https://github.com/weiks/esports-backend/pull/881,CLOSED,2022-03-29T13:47:15Z,2022-01-13T02:36:10Z,2022-04-12T09:51:28Z,set(),[]
[REF] fix tests after ViewEventPage migration,adrach,{'adrach'},880,https://github.com/weiks/esports-backend/pull/880,CLOSED,2022-03-29T13:47:12Z,2022-01-13T02:35:39Z,2022-04-12T09:51:28Z,set(),[]
External buy,bmcilw1,{'bmcilw1'},1019,https://github.com/weiks/esports-backend/pull/1019,CLOSED,2022-03-09T17:54:36Z,2022-03-09T17:53:52Z,2022-04-12T09:51:18Z,set(),[]
Fix scrim tabs test - increase timeout to 2000ms,dashaforbes,{'dashaforbes'},1006,https://github.com/weiks/esports-backend/pull/1006,CLOSED,2022-03-03T20:04:26Z,2022-03-03T01:06:00Z,2022-04-12T09:51:14Z,set(),[]
Feature/configmgmtv2,onebricktech,{'onebricktech'},1005,https://github.com/weiks/esports-backend/pull/1005,CLOSED,2022-03-22T20:10:38Z,2022-03-02T23:12:46Z,2022-04-12T09:51:01Z,set(),[]
Migrate endpoint /toggleTeamLock,gonzalovelasco,{'gonzalovelasco'},1099,https://github.com/weiks/esports-backend/pull/1099,MERGED,2022-03-30T17:25:02Z,2022-03-30T15:00:51Z,2022-04-12T09:50:47Z,set(),[]
Convert updateAnnouncement,paulofer85,{'paulofer85'},1102,https://github.com/weiks/esports-backend/pull/1102,MERGED,2022-04-01T20:47:23Z,2022-03-30T15:38:57Z,2022-04-12T09:50:46Z,set(),"[{'assignees': {'gonzalovelasco', 'paulofer85', 'alexangc'}, 'labels': set(), 'number': 962, 'title': 'Event Migration: Backend', 'url': 'https://github.com/weiks/esports-backend/issues/962', 'state': 'CLOSED', 'updatedAt': '2022-04-28T09:56:08Z'}]"
Convert vipUpdateAnnouncement,paulofer85,{'paulofer85'},1104,https://github.com/weiks/esports-backend/pull/1104,MERGED,2022-04-01T20:56:02Z,2022-03-30T19:22:15Z,2022-04-12T09:50:45Z,set(),"[{'assignees': {'gonzalovelasco', 'paulofer85', 'alexangc'}, 'labels': set(), 'number': 962, 'title': 'Event Migration: Backend', 'url': 'https://github.com/weiks/esports-backend/issues/962', 'state': 'CLOSED', 'updatedAt': '2022-04-28T09:56:08Z'}]"
banPlayer migration and tests,CarlosViller,{'CarlosViller'},1125,https://github.com/weiks/esports-backend/pull/1125,CLOSED,2022-04-07T15:50:05Z,2022-04-05T18:31:50Z,2022-04-12T09:50:42Z,set(),[]
+ SLOT_ID constraint,paulofer85,{'paulofer85'},1160,https://github.com/weiks/esports-backend/pull/1160,CLOSED,2022-04-11T18:53:28Z,2022-04-11T18:01:20Z,2022-04-12T09:50:39Z,set(),[]
fix nextjs route conflict,gonzalovelasco,{'gonzalovelasco'},1158,https://github.com/weiks/esports-backend/pull/1158,MERGED,2022-04-11T20:04:08Z,2022-04-11T15:19:35Z,2022-04-12T09:50:36Z,set(),[]
migrate component invitation modal,gonzalovelasco,{'gonzalovelasco'},1152,https://github.com/weiks/esports-backend/pull/1152,MERGED,2022-04-11T14:23:55Z,2022-04-08T19:38:46Z,2022-04-12T09:50:35Z,set(),[]
migrate component invite link modal,gonzalovelasco,{'gonzalovelasco'},1153,https://github.com/weiks/esports-backend/pull/1153,MERGED,2022-04-11T12:53:52Z,2022-04-08T20:20:50Z,2022-04-12T09:50:34Z,set(),[]
Fix rebasing error,alexangc,{'alexangc'},1161,https://github.com/weiks/esports-backend/pull/1161,MERGED,2022-04-11T19:32:32Z,2022-04-11T19:31:17Z,2022-04-11T19:32:34Z,set(),[]
Convert `startScrimRichPresence`,alexangc,{'alexangc'},1155,https://github.com/weiks/esports-backend/pull/1155,MERGED,2022-04-11T19:24:05Z,2022-04-11T08:59:27Z,2022-04-11T19:24:07Z,set(),[]
Migrate endpoint `/pickMatchWinner`,alexangc,{'alexangc'},1123,https://github.com/weiks/esports-backend/pull/1123,MERGED,2022-04-11T17:59:07Z,2022-04-05T16:45:24Z,2022-04-11T17:59:09Z,set(),[]
Migrate endpoint `/reportMatchOutcome`,alexangc,{'alexangc'},1122,https://github.com/weiks/esports-backend/pull/1122,MERGED,2022-04-11T17:49:26Z,2022-04-05T14:58:24Z,2022-04-11T17:49:28Z,set(),[]
Add endpoint `/resetBracketsMatch`,alexangc,{'alexangc'},1124,https://github.com/weiks/esports-backend/pull/1124,MERGED,2022-04-11T17:45:48Z,2022-04-05T17:05:25Z,2022-04-11T17:45:51Z,set(),[]
Fix duplicate path param breaking NextJs,alexangc,{'alexangc'},1159,https://github.com/weiks/esports-backend/pull/1159,CLOSED,2022-04-11T16:05:25Z,2022-04-11T15:58:32Z,2022-04-11T16:05:35Z,set(),[]
Cleanup UI,CarlosViller,{'CarlosViller'},1157,https://github.com/weiks/esports-backend/pull/1157,MERGED,2022-04-11T15:19:11Z,2022-04-11T14:10:47Z,2022-04-11T15:20:24Z,set(),[]
Migrate endpoint `/switchBracketsTeams`,alexangc,{'alexangc'},1118,https://github.com/weiks/esports-backend/pull/1118,MERGED,2022-04-11T15:16:50Z,2022-04-04T10:48:49Z,2022-04-11T15:16:53Z,set(),[]
Use the team id for the claims' field `reporter` (rather than user id),alexangc,{'alexangc'},1150,https://github.com/weiks/esports-backend/pull/1150,MERGED,2022-04-11T15:08:33Z,2022-04-08T17:50:20Z,2022-04-11T15:08:37Z,set(),[]
Convert brackets module,alexangc,{'alexangc'},1115,https://github.com/weiks/esports-backend/pull/1115,MERGED,2022-04-08T16:02:36Z,2022-04-04T07:27:52Z,2022-04-09T13:43:55Z,set(),[]
Reject failed requests,Mathspy,{'Mathspy'},1154,https://github.com/weiks/esports-backend/pull/1154,MERGED,2022-04-08T21:20:06Z,2022-04-08T21:01:09Z,2022-04-09T10:31:19Z,set(),[]
Cleanup checkout.com UI,bmcilw1,{'bmcilw1'},1151,https://github.com/weiks/esports-backend/pull/1151,MERGED,2022-04-08T19:13:01Z,2022-04-08T17:53:40Z,2022-04-08T19:13:05Z,set(),[]
migrate PlayerCard,adrach,{'adrach'},1126,https://github.com/weiks/esports-backend/pull/1126,MERGED,2022-04-08T18:55:06Z,2022-04-05T19:34:19Z,2022-04-08T18:55:09Z,set(),[]
Migrate endpoint `/changeStatus`,alexangc,{'alexangc'},1116,https://github.com/weiks/esports-backend/pull/1116,MERGED,2022-04-08T17:33:57Z,2022-04-04T08:26:54Z,2022-04-08T17:33:59Z,set(),[]
Migrate endpoint `/updateTeamName`,alexangc,{'alexangc'},1117,https://github.com/weiks/esports-backend/pull/1117,MERGED,2022-04-08T16:21:42Z,2022-04-04T08:56:19Z,2022-04-08T16:21:45Z,set(),[]
feat: migrate Brackets,adrach,{'adrach'},1105,https://github.com/weiks/esports-backend/pull/1105,MERGED,2022-04-08T13:42:03Z,2022-03-31T03:25:20Z,2022-04-08T13:42:07Z,set(),[]
migrate HomePage,adrach,{'adrach'},1068,https://github.com/weiks/esports-backend/pull/1068,MERGED,2022-04-08T13:25:29Z,2022-03-23T16:52:30Z,2022-04-08T13:25:32Z,set(),[]
Migration kick & ban User,paulofer85,{'paulofer85'},1139,https://github.com/weiks/esports-backend/pull/1139,CLOSED,2022-04-06T22:29:18Z,2022-04-06T22:23:48Z,2022-04-07T07:33:30Z,set(),[]
Move Merchant ID domain association cert to env,Mathspy,{'Mathspy'},1130,https://github.com/weiks/esports-backend/pull/1130,MERGED,2022-04-06T14:09:24Z,2022-04-06T13:44:17Z,2022-04-06T21:09:48Z,set(),[]
Switch from giveQuarters to buyQuartersForUser for Quarter purchases,Mathspy,{'Mathspy'},1138,https://github.com/weiks/esports-backend/pull/1138,MERGED,2022-04-06T21:09:28Z,2022-04-06T21:02:38Z,2022-04-06T21:09:29Z,set(),[]
checkout.com marathon ,Mathspy,"{'Mathspy', 'bmcilw1'}",1032,https://github.com/weiks/esports-backend/pull/1032,MERGED,2022-04-06T20:35:09Z,2022-03-11T21:03:13Z,2022-04-06T20:35:13Z,{'good for newcomers'},"[{'assignees': {'Mathspy', 'bmcilw1'}, 'labels': {'good for newcomers'}, 'number': 952, 'title': 'Replace Buy button via Terminal3 with `checkout.com`', 'url': 'https://github.com/weiks/esports-backend/issues/952', 'state': 'CLOSED', 'updatedAt': '2022-05-05T14:21:42Z'}]"
`checkout.com` minor follow ups,Mathspy,{'Mathspy'},1137,https://github.com/weiks/esports-backend/pull/1137,MERGED,2022-04-06T19:24:33Z,2022-04-06T19:04:52Z,2022-04-06T19:24:36Z,set(),[]
Fix `/leave` not refunding VIP fees to boosters,alexangc,{'alexangc'},1097,https://github.com/weiks/esports-backend/pull/1097,MERGED,2022-04-05T17:09:21Z,2022-03-30T11:34:49Z,2022-04-06T18:51:23Z,set(),[]
Update specs with prizes attribution,alexangc,{'alexangc'},1135,https://github.com/weiks/esports-backend/pull/1135,MERGED,2022-04-06T17:57:33Z,2022-04-06T17:30:22Z,2022-04-06T17:57:35Z,set(),[]
Implement the machinery of Apple Pay,Mathspy,{'Mathspy'},1133,https://github.com/weiks/esports-backend/pull/1133,MERGED,2022-04-06T17:44:46Z,2022-04-06T15:19:49Z,2022-04-06T17:44:47Z,set(),[]
Award quarters on successful purchases,Mathspy,{'Mathspy'},1134,https://github.com/weiks/esports-backend/pull/1134,MERGED,2022-04-06T17:40:29Z,2022-04-06T16:50:08Z,2022-04-06T17:40:32Z,set(),[]
Buy ticket route,Mathspy,{'Mathspy'},1128,https://github.com/weiks/esports-backend/pull/1128,CLOSED,2022-04-06T17:07:23Z,2022-04-05T21:52:31Z,2022-04-06T17:08:47Z,set(),[]
Fixed production Merchant ID verification,Mathspy,{'Mathspy'},1129,https://github.com/weiks/esports-backend/pull/1129,MERGED,2022-04-06T13:15:06Z,2022-04-05T22:41:50Z,2022-04-06T13:15:10Z,set(),[]
Pick winner remainder,bmcilw1,{'bmcilw1'},1127,https://github.com/weiks/esports-backend/pull/1127,MERGED,2022-04-05T20:16:59Z,2022-04-05T20:04:23Z,2022-04-06T06:09:52Z,{'bug'},"[{'assignees': {'P3NGUIN1', 'bmcilw1'}, 'labels': {'bug'}, 'number': 1048, 'title': '[Bug] Invalid amounts displayed in the ""Pick Winner"" panel', 'url': 'https://github.com/weiks/esports-backend/issues/1048', 'state': 'CLOSED', 'updatedAt': '2022-04-05T20:16:59Z'}]"
Migrate endpoint /switchTeam,gonzalovelasco,{'gonzalovelasco'},1107,https://github.com/weiks/esports-backend/pull/1107,MERGED,2022-04-06T01:03:48Z,2022-03-31T20:53:16Z,2022-04-06T06:08:26Z,set(),"[{'assignees': {'gonzalovelasco', 'paulofer85', 'alexangc'}, 'labels': set(), 'number': 962, 'title': 'Event Migration: Backend', 'url': 'https://github.com/weiks/esports-backend/issues/962', 'state': 'CLOSED', 'updatedAt': '2022-04-28T09:56:08Z'}]"
